Source,Target,Type,id,label,timeset,weight
0,1,Directed,3,,,1.0
0,3,Directed,4,,,1.0
0,21,Directed,5,,,1.0
0,26,Directed,6,,,1.0
0,40,Directed,7,,,1.0
0,41,Directed,8,,,1.0
0,42,Directed,9,,,1.0
0,44,Directed,10,,,1.0
0,46,Directed,11,,,1.0
0,58,Directed,12,,,1.0
0,61,Directed,13,,,1.0
1,4,Directed,14,,,1.0
1,21,Directed,15,,,1.0
1,26,Directed,16,,,1.0
1,32,Directed,17,,,1.0
1,40,Directed,18,,,1.0
1,44,Directed,19,,,1.0
1,46,Directed,20,,,1.0
1,58,Directed,21,,,1.0
1,61,Directed,22,,,1.0
2,22,Directed,23,,,1.0
2,40,Directed,24,,,1.0
2,45,Directed,25,,,1.0
2,47,Directed,26,,,1.0
3,9,Directed,27,,,1.0
3,23,Directed,28,,,1.0
3,26,Directed,29,,,1.0
3,40,Directed,30,,,1.0
3,48,Directed,31,,,1.0
3,61,Directed,32,,,1.0
4,44,Directed,33,,,1.0
5,6,Directed,34,,,1.0
5,15,Directed,35,,,1.0
5,20,Directed,36,,,1.0
5,24,Directed,37,,,1.0
5,25,Directed,38,,,1.0
5,38,Directed,39,,,1.0
5,40,Directed,40,,,1.0
5,54,Directed,41,,,1.0
5,55,Directed,42,,,1.0
5,56,Directed,44,,,1.0
5,57,Directed,45,,,1.0
5,62,Directed,46,,,1.0
5,63,Directed,47,,,1.0
5,64,Directed,48,,,1.0
5,67,Directed,50,,,1.0
6,15,Directed,51,,,1.0
6,20,Directed,52,,,1.0
6,25,Directed,53,,,1.0
6,38,Directed,54,,,1.0
6,53,Directed,55,,,1.0
6,54,Directed,56,,,1.0
6,63,Directed,57,,,1.0
6,64,Directed,58,,,1.0
6,61,Directed,59,,,1.0
6,67,Directed,60,,,1.0
7,3,Directed,61,,,1.0
7,6,Directed,62,,,1.0
7,13,Directed,63,,,1.0
7,15,Directed,64,,,1.0
7,18,Directed,65,,,1.0
9,3,Directed,66,,,1.0
9,5,Directed,67,,,1.0
9,6,Directed,68,,,1.0
9,7,Directed,69,,,1.0
9,12,Directed,70,,,1.0
9,13,Directed,71,,,1.0
9,15,Directed,72,,,1.0
9,18,Directed,73,,,1.0
9,24,Directed,74,,,1.0
9,25,Directed,75,,,1.0
9,26,Directed,76,,,1.0
12,3,Directed,77,,,1.0
12,8,Directed,78,,,1.0
12,13,Directed,79,,,1.0
12,16,Directed,80,,,1.0
12,17,Directed,81,,,1.0
12,18,Directed,82,,,1.0
12,19,Directed,83,,,1.0
12,49,Directed,84,,,1.0
13,12,Directed,85,,,1.0
13,18,Directed,86,,,1.0
13,49,Directed,87,,,1.0
15,6,Directed,88,,,1.0
15,20,Directed,89,,,1.0
15,24,Directed,90,,,1.0
15,25,Directed,91,,,1.0
16,18,Directed,92,,,1.0
16,19,Directed,93,,,1.0
17,18,Directed,94,,,1.0
18,16,Directed,95,,,1.0
18,17,Directed,96,,,1.0
18,19,Directed,97,,,1.0
18,49,Directed,98,,,1.0
19,15,Directed,99,,,1.0
19,18,Directed,100,,,1.0
19,24,Directed,101,,,1.0
19,25,Directed,102,,,1.0
21,1,Directed,103,,,1.0
21,4,Directed,104,,,1.0
21,32,Directed,105,,,1.0
21,40,Directed,106,,,1.0
21,44,Directed,107,,,1.0
21,58,Directed,108,,,1.0
21,61,Directed,109,,,1.0
23,3,Directed,110,,,1.0
24,15,Directed,111,,,1.0
25,3,Directed,112,,,1.0
25,12,Directed,113,,,1.0
25,15,Directed,114,,,1.0
26,20,Directed,115,,,1.0
26,27,Directed,116,,,1.0
26,28,Directed,117,,,1.0
26,29,Directed,118,,,1.0
26,30,Directed,119,,,1.0
26,31,Directed,120,,,1.0
26,32,Directed,121,,,1.0
26,34,Directed,122,,,1.0
26,36,Directed,123,,,1.0
26,40,Directed,124,,,1.0
26,45,Directed,125,,,1.0
26,60,Directed,126,,,1.0
26,63,Directed,127,,,1.0
26,65,Directed,128,,,1.0
26,66,Directed,129,,,1.0
27,20,Directed,130,,,1.0
27,26,Directed,131,,,1.0
27,31,Directed,132,,,1.0
27,32,Directed,133,,,1.0
27,34,Directed,134,,,1.0
27,36,Directed,135,,,1.0
27,45,Directed,136,,,1.0
27,63,Directed,137,,,1.0
27,66,Directed,138,,,1.0
28,4,Directed,139,,,1.0
28,20,Directed,140,,,1.0
28,26,Directed,141,,,1.0
28,27,Directed,142,,,1.0
28,29,Directed,143,,,1.0
28,30,Directed,144,,,1.0
28,31,Directed,145,,,1.0
28,32,Directed,146,,,1.0
28,34,Directed,147,,,1.0
28,36,Directed,148,,,1.0
28,60,Directed,149,,,1.0
28,63,Directed,150,,,1.0
28,65,Directed,151,,,1.0
28,66,Directed,152,,,1.0
29,4,Directed,153,,,1.0
29,20,Directed,154,,,1.0
29,26,Directed,155,,,1.0
29,27,Directed,156,,,1.0
29,28,Directed,157,,,1.0
29,30,Directed,158,,,1.0
29,31,Directed,159,,,1.0
29,32,Directed,160,,,1.0
29,34,Directed,161,,,1.0
29,45,Directed,162,,,1.0
29,60,Directed,163,,,1.0
29,63,Directed,164,,,1.0
29,65,Directed,165,,,1.0
29,66,Directed,166,,,1.0
30,4,Directed,167,,,1.0
